Timestamp,Object_ID,Centroid_X,Centroid_Y,Centroid_Z,Velocity_ms,Is_Static,Point_Count
140.05,6,nan,nan,nan,0.0,1,507
140.05,7,12.017,4.38,0.999,0.0,1,251
140.05,7,12.017,4.38,0.999,0.0,1,251
140.15,1,12.425,8.396,1.584,0.0,1,300
140.15,1,12.425,8.396,1.584,0.0,1,300
140.15,2,11.345,4.488,1.081,0.0,1,313
140.15,2,11.345,4.488,1.081,0.0,1,313
140.15,3,6.976,-4.374,0.459,0.0,1,453
140.15,3,6.976,-4.374,0.459,0.0,1,453
140.15,4,12.191,8.286,0.322,0.0,1,464
140.15,4,12.191,8.286,0.322,0.0,1,464
140.15,5,11.018,4.632,1.036,0.0,1,472
140.15,5,11.018,4.632,1.036,0.0,1,473
140.15,6,nan,nan,nan,0.0,1,1
140.15,7,12.017,4.38,0.999,0.0,1,251
140.15,6,nan,nan,nan,0.0,1,508
140.15,7,12.017,4.38,0.999,0.0,1,251
140.22,1,12.425,8.396,1.584,0.0,1,300
140.22,2,11.345,4.488,1.081,0.0,1,313
140.22,3,6.976,-4.374,0.459,0.0,1,453
140.22,4,12.191,8.286,0.322,0.0,1,464
140.22,5,11.018,4.632,1.036,0.0,1,473
140.22,6,nan,nan,nan,0.0,1,508
140.22,7,12.017,4.38,0.999,0.0,1,251
140.38,1,12.128,8.366,1.557,1.96,0,295
140.38,2,11.185,4.551,1.068,1.01,0,320
140.38,3,7.58,-4.653,0.487,1.43,0,531
140.38,4,11.959,8.298,0.317,2.12,0,447
140.38,5,10.834,4.676,1.023,1.46,0,490
140.38,6,7.893,-4.753,2.258,nan,1,1
140.38,7,11.807,4.433,0.985,1.12,0,231
140.41,1,11.781,8.342,1.524,0.0,1,399
140.41,2,10.99,4.621,1.072,0.0,1,425
140.41,1,11.781,8.342,1.524,0.0,1,444
140.41,3,7.626,-4.559,0.484,0.0,1,625
140.41,4,11.673,8.307,0.314,0.0,1,555
140.41,2,10.99,4.621,1.072,0.0,1,413
140.41,3,7.626,-4.559,0.484,0.0,1,566
140.41,4,11.673,8.307,0.314,0.0,1,615
140.48,1,11.35,7.954,1.473,0.0,1,524
140.48,3,9.209,-5.559,0.66,0.0,1,1152
140.48,4,11.525,8.136,0.317,0.0,1,858
140.65,17,9.018,9.844,0.309,0.0,1,2120
140.68,17,8.406,9.577,0.293,0.0,1,1650
140.71,4,7.162,9.11,0.267,16.39,0,364
140.71,4,7.162,9.11,0.267,21.15,0,364
150.74,56,3.227,11.258,0.685,0.0,1,2378
150.74,56,3.227,11.258,0.685,0.0,1,2378
150.91,56,2.891,10.218,0.607,0.0,1,2429
151.04,68,0.941,9.353,0.65,0.0,1,629
151.04,76,-0.071,8.791,0.625,0.0,1,974
151.04,65,-3.181,7.344,0.636,0.0,1,1066
151.17,68,0.976,9.304,0.64,0.0,1,709
151.21,68,0.989,9.288,0.635,0.91,0,685
151.21,65,-3.122,7.407,0.634,1.78,0,763
151.17,76,-0.019,8.798,0.625,0.0,1,1167
151.24,68,0.993,9.279,0.636,0.0,1,590
151.24,76,0.0,8.791,0.624,0.0,1,715
151.24,65,-3.111,7.412,0.635,0.0,1,714
